date,DJCI-GSNECI-0,DJCI-GSNECI-smth,DJCI-MSCI_W-0,DJCI-MSCI_W-smth,DJCI-GSCI-0,DJCI-GSCI-smth,DJCI-MSCI_EM-0,DJCI-MSCI_EM-smth,DJCI-SPX-0,DJCI-SPX-smth,DJCI-GSECI-0,DJCI-GSECI-smth
1986-03-01,,,,,,,,,,,,
1986-04-01,,,,,,,,,,,,
1986-05-01,,,,,,,,,,,,
1986-06-01,,,,,,,,,,,,
1986-07-01,,,,,,,,,,,,
1986-08-01,,,,,,,,,,,,
1986-09-01,,,,,,,,,,,,
1986-10-01,,,,,,,,,,,,
1986-11-01,,,,,,,,,,,,
1986-12-01,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,
1987-02-01,,,,,,,,,,,,
1987-03-01,,,,,,,,,,,,
1987-04-01,,,,,,,,,,,,
1987-05-01,,,,,,,,,,,,
1987-06-01,,,,,,,,,,,,
1987-07-01,,,,,,,,,,,,
1987-08-01,,,,,,,,,,,,
1987-09-01,,,,,,,,,,,,
1987-10-01,,,,,,,,,,,,
1987-11-01,,,,,,,,,,,,
1987-12-01,,,,,,,,,,,,
1988-01-01,,,,,,,,,,,,
1988-02-01,,,,,,,,,,,,
1988-03-01,,,,,,,,,,,,
1988-04-01,,,,,,,,,,,,
1988-05-01,,,,,,,,,,,,
1988-06-01,,,,,,,,,,,,
1988-07-01,,,,,,,,,,,,
1988-08-01,,,,,,,,,,,,
1988-09-01,,,,,,,,,,,,
1988-10-01,,,,,,,,,,,,
1988-11-01,,,,,,,,,,,,
1988-12-01,,,,,,,,,,,,
1989-01-01,,,,,,,,,,,,
1989-02-01,,,,,,,,,,,,
1989-03-01,,,,,,,,,,,,
1989-04-01,,,,,,,,,,,,
1989-05-01,,,,,,,,,,,,
1989-06-01,,,,,,,,,,,,
1989-07-01,,,,,,,,,,,,
1989-08-01,,,,,,,,,,,,
1989-09-01,,,,,,,,,,,,
1989-10-01,,,,,,,,,,,,
1989-11-01,,,,,,,,,,,,
1989-12-01,,,,,,,,,,,,
1990-01-01,,,,,,,,,,,,
1990-02-01,,,,,,,,,,,,
1990-03-01,,,,,,,,,,,,
1990-04-01,,,,,,,,,,,,
1990-05-01,,,,,,,,,,,,
1990-06-01,,,,,,,,,,,,
1990-07-01,,,,,,,,,,,,
1990-08-01,,,,,,,,,,,,
1990-09-01,,,,,,,,,,,,
1990-10-01,,,,,,,,,,,,
1990-11-01,,,,,,,,,,,,
1990-12-01,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,
1991-02-01,,,,,,,,,,,,
1991-03-01,,,,,,,,,,,,
1991-04-01,,,,,,,,,,,,
1991-05-01,,,,,,,,,,,,
1991-06-01,,,,,,,,,,,,
1991-07-01,,,,,,,,,,,,
1991-08-01,,,,,,,,,,,,
1991-09-01,,,,,,,,,,,,
1991-10-01,,,,,,,,,,,,
1991-11-01,,,,,,,,,,,,
1991-12-01,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,
1992-02-01,,,,,,,,,,,,
1992-03-01,,,,,,,,,,,,
1992-04-01,,,,,,,,,,,,
1992-05-01,,,,,,,,,,,,
1992-06-01,,,,,,,,,,,,
1992-07-01,,,,,,,,,,,,
1992-08-01,,,,,,,,,,,,
1992-09-01,,,,,,,,,,,,
1992-10-01,,,,,,,,,,,,
1992-11-01,,,,,,,,,,,,
1992-12-01,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,
1993-02-01,,,,,,,,,,,,
1993-03-01,,,,,,,,,,,,
1993-04-01,,,,,,,,,,,,
1993-05-01,,,,,,,,,,,,
1993-06-01,,,,,,,,,,,,
1993-07-01,,,,,,,,,,,,
1993-08-01,,,,,,,,,,,,
1993-09-01,,,,,,,,,,,,
1993-10-01,,,,,,,,,,,,
1993-11-01,,,,,,,,,,,,
1993-12-01,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,
1994-02-01,,,,,,,,,,,,
1994-03-01,,,,,,,,,,,,
1994-04-01,,,,,,,,,,,,
1994-05-01,,,,,,,,,,,,
1994-06-01,,,,,,,,,,,,
1994-07-01,,,,,,,,,,,,
1994-08-01,,,,,,,,,,,,
1994-09-01,,,,,,,,,,,,
1994-10-01,,,,,,,,,,,,
1994-11-01,,,,,,,,,,,,
1994-12-01,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,
1995-02-01,,,,,,,,,,,,
1995-03-01,,,,,,,,,,,,
1995-04-01,,,,,,,,,,,,
1995-05-01,,,,,,,,,,,,
1995-06-01,,,,,,,,,,,,
1995-07-01,,,,,,,,,,,,
1995-08-01,,,,,,,,,,,,
1995-09-01,,,,,,,,,,,,
1995-10-01,,,,,,,,,,,,
1995-11-01,,,,,,,,,,,,
1995-12-01,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,
1996-02-01,,,,,,,,,,,,
1996-03-01,,,,,,,,,,,,
1996-04-01,,,,,,,,,,,,
1996-05-01,,,,,,,,,,,,
1996-06-01,,,,,,,,,,,,
1996-07-01,,,,,,,,,,,,
1996-08-01,,,,,,,,,,,,
1996-09-01,,,,,,,,,,,,
1996-10-01,,,,,,,,,,,,
1996-11-01,,,,,,,,,,,,
1996-12-01,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,
1997-02-01,,,,,,,,,,,,
1997-03-01,,,,,,,,,,,,
1997-04-01,,,,,,,,,,,,
1997-05-01,,,,,,,,,,,,
1997-06-01,,,,,,,,,,,,
1997-07-01,,,,,,,,,,,,
1997-08-01,,,,,,,,,,,,
1997-09-01,,,,,,,,,,,,
1997-10-01,,,,,,,,,,,,
1997-11-01,,,,,,,,,,,,
1997-12-01,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,
1998-02-01,,,,,,,,,,,,
1998-03-01,,,,,,,,,,,,
1998-04-01,,,,,,,,,,,,
1998-05-01,,,,,,,,,,,,
1998-06-01,,,,,,,,,,,,
1998-07-01,,,,,,,,,,,,
1998-08-01,,,,,,,,,,,,
1998-09-01,,,,,,,,,,,,
1998-10-01,,,,,,,,,,,,
1998-11-01,,,,,,,,,,,,
1998-12-01,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,
1999-02-01,,,,,,,,,,,,
1999-03-01,,,,,,,,,,,,
1999-04-01,1.0962760767623538,0.7861797149459243,1.0915452572194337,0.4514638635366074,0.7724506120106261,0.832289144898177,0.9331689158293938,0.5154537270971695,0.6762056457373271,0.07797070754211266,0.7003821272546413,0.781502048885145
1999-05-01,1.1084694041284242,0.7800831677820119,1.0547159467644747,0.439497289282041,0.7913370116205963,0.8365645133974142,0.7382835115262929,0.49720182539733904,0.6614497833175924,0.07104998690989506,0.7171831863423338,0.7887972852368601
1999-06-01,1.188108299515052,0.7737462571192328,0.9479598410946269,0.42526440483850136,0.8361417596519097,0.8396567065787482,0.7527410841650073,0.4812213015160292,0.781932402144358,0.05861677309428215,0.7585049404722751,0.7948297487000788
1999-07-01,1.274470361485656,0.7642540790985766,0.8910231158673736,0.40532035197597105,0.8525853589977055,0.8398974511264905,0.7085186174719211,0.4643157704310664,0.3418863515229217,0.04283099392759493,0.7850278710177006,0.7977903019512377
1999-08-01,1.182665449991251,0.7525501386567552,0.8093703413945876,0.37755737338744555,0.8367922904821324,0.8388953724171107,0.6453884791430327,0.44214548942433984,0.3290112387630959,0.03502020979698062,0.7710501410687342,0.7989443312651823
1999-09-01,0.8595338226459706,0.7424996776977622,0.7928693207642683,0.3527938224241187,0.8586068469519802,0.8390568478117711,0.6669278095915973,0.42424820562833676,-0.04448591742080832,0.024407370623484276,0.8105591882621916,0.8013701570748767
1999-10-01,0.8941078951212785,0.736497178335409,0.7085090041239193,0.32889493092176486,0.8772944048697094,0.8374682315850583,0.576416043311139,0.4045125802826527,-0.09193809029901678,0.028095801563016637,0.8340214017607432,0.8005978164144886
1999-11-01,0.8928881778499234,0.7285884359764069,0.4083055877546766,0.3087184052189928,0.8680733979322491,0.8343075569890922,0.5744459786969709,0.3909627392360718,-0.024222097530859688,0.03431765391874781,0.840971676795581,0.7979117427532643
1999-12-01,0.9006736834246696,0.7200032793236439,0.42404889905597887,0.3019145870520069,0.81892729607512,0.8316204127395578,0.5145877506560382,0.3775557890903479,0.07008381706285784,0.03738247881363602,0.8030844881569333,0.794555411968849
2000-01-01,0.9148436806690523,0.710835631893661,0.4905993364540093,0.2937773542924656,0.8504145448312603,0.8326741164545712,0.5382138968067522,0.36561927590371324,0.12347622346489814,0.034990867290081135,0.8353440417472197,0.7938701838787676
2000-02-01,0.9266165259930661,0.7009704327273496,0.22908861230981592,0.27895839212197215,0.86432560486707,0.8312799429535229,0.4982838537333267,0.3480293477791071,0.025868778162670733,0.028806127293088665,0.8557176204973209,0.7907132164283935
2000-03-01,0.7013698495224865,0.68852782386899,0.2240211390696181,0.28349039594003483,0.8367709573839438,0.8285662168933445,0.4968194507956005,0.3339642840349247,0.006836853892837041,0.029011137232208817,0.8074445008546113,0.7855768934846911
2000-04-01,0.557030542300757,0.6876567450938008,0.22067849295759664,0.2885008830520789,0.7147319050866782,0.8279194405116852,0.49217281878880453,0.3200068210132075,0.035512843459906844,0.031006042914386748,0.6420528002502438,0.7838667888712525
2000-05-01,0.5752603708942654,0.6990091705539704,0.25516294166583264,0.2948110695274873,0.7247538562110196,0.8372208940333571,0.41922376822465957,0.3063921241570409,0.024977182976288793,0.030578292044243213,0.6556199021961293,0.7961422222296508
2000-06-01,0.5795541700961658,0.7092083953961342,0.12551358642092422,0.29908537976139565,0.8274427291915623,0.8462125140063402,0.27371685872695956,0.2935440002625528,-0.25436793980984646,0.031065197313758286,0.7707523797624237,0.8078695396239847
2000-07-01,0.5099301949310208,0.7190810949847813,0.1830778686412124,0.31673097162075103,0.8436259726049845,0.8481186195202577,0.3125878899375197,0.29567722579115724,-0.1805006701548685,0.060813230354111986,0.7895966849421797,0.8117985117828477
2000-08-01,0.5826204742570703,0.7342670710654323,0.28510948816628334,0.32964568767146274,0.8447443861383266,0.8485693399553108,0.40240996817766284,0.29399425434590976,-0.1846944617980967,0.08466034507264616,0.8021343235352988,0.8141142979851004
2000-09-01,0.7550720581190884,0.7450093482625374,0.43320542751423213,0.33398802061089644,0.9050040398945829,0.8489948840893803,0.42798372021462,0.2830332012586075,-0.16330565153771734,0.1088872944087895,0.8763944066177548,0.8154791236407047
2000-10-01,0.7551984344008683,0.7442928122778022,0.38057620256037794,0.3246606885309914,0.8787818719242729,0.8410584543742233,0.35011598387952625,0.2697057530747571,-0.15367832768234305,0.1313674615788781,0.8518486661597539,0.8067812384406026
2000-11-01,0.7153493989903238,0.7435677831454458,0.4046740006724501,0.31910480029223154,0.8786168156793963,0.8362228835272201,0.359556518017767,0.2612606384575145,0.00994239678650466,0.15396112493551625,0.8425924047532756,0.8009710277212694
2000-12-01,0.8149985678411378,0.7456910679633862,0.06677437732822189,0.31093801407881616,0.9185061157347632,0.8314060622566971,0.10060733061283295,0.2497535268439308,-0.125243155281803,0.1708676538271822,0.897676478954756,0.7962088599487557
2001-01-01,0.8020743098820152,0.7393989736884687,0.07405604232790279,0.3389648475142375,0.8635337434513166,0.8205243598362212,0.1067991372507733,0.268736836274097,-0.0801838396864275,0.20448259601481616,0.8164697928756774,0.7838103345894183
2001-02-01,0.7839169094271703,0.7341476180664388,0.06398469003002517,0.36649322974595766,0.6944218124514862,0.815309935591835,0.036851037707301734,0.2871651176828901,-0.06049696012245838,0.23797145760869282,0.6719240577544743,0.7797709066738793
2001-03-01,0.7839434949513714,0.7299216551302306,0.1166158061854388,0.3950650764584494,0.6942877417364909,0.8334221675380769,0.07732233016987589,0.31669188188815056,-0.020744351358026845,0.26981884389150207,0.6669135762555022,0.7958522508908137
2001-04-01,0.7914152466931041,0.7256936113557517,0.27504853995136647,0.4288073660437291,0.7484238744919879,0.8521722475338114,0.23767546160759098,0.34509743357511685,0.22137944904638548,0.2997044427804284,0.7323971722442572,0.8134326325620005
2001-05-01,0.8285704884970546,0.7185589723673322,0.3298390925958489,0.4491356079288291,0.7784447448854563,0.866681676211192,0.2422275881070172,0.35868812225919344,0.19119602434147456,0.31058727309191786,0.7675627772772451,0.8238286323661166
2001-06-01,0.8375209493832344,0.7074495033583865,0.34364016756084304,0.46370369448399196,0.7846833492943025,0.8782529823563542,0.23439677852608767,0.3717700637145639,0.12745042659025493,0.3252693426028246,0.7740458963343199,0.8306000946796784
2001-07-01,0.7638997386584168,0.695465962494789,0.4211479008618471,0.47689546131034327,0.8282215012427765,0.889407560865129,0.2737218209004588,0.3856661921799929,0.2364339715412093,0.3488870168556506,0.7945603903965041,0.8368729060891471
2001-08-01,0.752419206377692,0.6896182857756176,0.43236668633236325,0.4825827320425301,0.8303105624640736,0.8975283509875176,0.2914677091702703,0.3960095074423205,0.2547317324477584,0.3616178208604984,0.7978425153328728,0.8426464206756793
2001-09-01,0.7598339790518368,0.6846579622873663,0.4385323924924871,0.4874299613728982,0.8331822855266413,0.9054070921518413,0.2940534642193602,0.40582883804348374,0.27128110066187866,0.37314572191291273,0.7988657445012599,0.8480316669045974
2001-10-01,0.9959253669706499,0.6791321983649287,0.7180777265881653,0.4921060473731633,0.8895155236691776,0.9129891307440219,0.6392754481014955,0.4154291380153695,0.5968872059289708,0.38336064956504545,0.9001237938745221,0.85330745151846
2001-11-01,1.0350490369514653,0.6478456524919449,0.7102464832568052,0.4661674196040106,0.9156146799023939,0.9170282246895899,0.5737961186209083,0.3902343686884504,0.5346210877085102,0.353609493420742,0.927893751939967,0.8457835636997705
2001-12-01,0.8786927752115004,0.6118277259853158,0.6853286154749825,0.44102505280685256,0.8853649020652439,0.9172445094534274,0.5296192094996923,0.37128952356982414,0.5367927063982542,0.3309953155157166,0.7797409787673499,0.8339579783121857
2002-01-01,0.8490332241859953,0.5838732936431683,0.7053283727355106,0.41655094967892947,0.8856366846903425,0.9215654675770064,0.44970150949202076,0.3542383392448528,0.5506203949151294,0.3077793824064662,0.7682219959166013,0.8418100766906547
2002-02-01,0.839682919101457,0.5552285791012261,0.7141487785124288,0.3897554898293424,0.8961008071283066,0.9258539924370592,0.4377032475292678,0.34444468007667606,0.5697084154164803,0.28303051716873423,0.7794881466832996,0.851140466039324
2002-03-01,0.7857871508937097,0.5274520983885949,0.6675309470624139,0.36039458464653307,0.8533078759057312,0.9290582063100006,0.43624439715545965,0.33574394592891604,0.4281195865968975,0.25567263986435407,0.7412371552088644,0.8592919929685959
2002-04-01,0.7965568870490874,0.503798943171441,0.8246016143953587,0.33425963054275215,0.9892128655106524,0.9373113600666179,0.6412353402238019,0.32716718815488843,0.5982916361391132,0.23824793757693608,0.9140137164491897,0.8729847605548302
2002-05-01,0.6269533089639968,0.4792395144604653,0.7432811545879449,0.2945994985733225,0.9904728962148478,0.9293515823698962,0.6494549291047093,0.30113794738020605,0.5742016889485049,0.20382405538518372,0.907495098851184,0.8665234487078581
2002-06-01,0.46986069208431164,0.4629450527630873,0.7442444262284527,0.25429046532756694,0.9704464251067366,0.9212229970716498,0.6582090413564404,0.27395809342948846,0.5633267167061577,0.16730409843309824,0.876845431844201,0.8609386836976641
2002-07-01,0.46633689702472897,0.4621156944916796,0.5303770152563259,0.21390008974045488,0.9663879361458786,0.9151683706819481,0.4118706672159429,0.24587981174970155,0.30783865578607705,0.12838669008547196,0.8932276537538774,0.8588943294916506
2002-08-01,0.3936498946590959,0.46152268464248336,0.42077537337551235,0.18571482699260125,0.964317979172704,0.9091331554912632,0.3756050593810453,0.23199522431026884,0.2430743774222185,0.10719992556643215,0.8967848944409863,0.8548789075780691
2002-09-01,0.46425777990058226,0.470704847171202,0.4369471384816757,0.1572746398924053,0.9983068130389503,0.9033147105889563,0.4202327824234261,0.21764543461900582,0.25493516218442375,0.08342475322283238,0.9443503394226773,0.8504812012138877
2002-10-01,0.49310465915840707,0.47153494662173384,0.17826534450501264,0.12703472182326245,0.9926486408550452,0.8933290566843423,0.17210620558000536,0.1989973322203818,0.16444106036120446,0.057850528650554595,0.9599821421426881,0.8410099041276843
2002-11-01,0.4245485843460035,0.4687854069323419,0.14987742410822744,0.11985372357472791,0.9428152354681831,0.8830403395012918,0.1505810197897656,0.20213177962587592,0.16866562457504364,0.04266186267116856,0.9005850546185392,0.8295766334780559
2002-12-01,0.430191038354711,0.47436342866513853,0.16226642077750703,0.11585646056885444,0.9451904762727446,0.8770324803689143,0.16735062253130073,0.20779290897248057,0.18208588582411628,0.02670495646585011,0.9038301956018531,0.8228062632009493
2003-01-01,0.3268141797047265,0.4793979467277113,0.057877233428282826,0.11022042607196655,0.881887821762812,0.8707590797288058,0.08435010252831504,0.21223543191600472,0.12638538156447782,0.00821654064992848,0.7965381979234735,0.8157076573142495
2003-02-01,0.39396213733520685,0.4971117204211874,-0.05902201406450007,0.11761462625773718,0.9329055780023422,0.8696803378169453,0.0043879504014184,0.227082809621162,0.029854470661896823,-0.00537619730085883,0.8573731704015278,0.8176361399857031
2003-03-01,0.32738303520402545,0.5082015016988026,-0.0836597985063816,0.14150423621657354,0.8538859818183682,0.8633825192322416,-0.03591815256291839,0.2510154674342301,-0.04818068214642422,-0.009180298952467358,0.7744083031345653,0.813604197436803
2003-04-01,0.4514754553757906,0.5271824895455502,-0.040416580824791395,0.1697464319148873,0.8002417858064761,0.8643809077611833,0.10794595087038256,0.2815848366628319,-0.06237754851079087,-0.0032153333905763845,0.7712356841746525,0.8178919556898928
2003-05-01,0.436350493991818,0.5348775621958449,-0.10747042113644881,0.19331571079407564,0.7630520798542465,0.8745567084462711,0.016841111535602735,0.2994187388659023,-0.10996136899134495,0.004639365045455188,0.7281261404744729,0.8251125549727292
2003-06-01,0.595054111178678,0.5440095287509954,0.09213438841151975,0.23154628170792899,0.8302179718613649,0.8916852559792819,0.23355247872471113,0.33112397877842836,0.06256448473831236,0.019775681686705217,0.8045507425687481,0.8399713755754056
2003-07-01,0.5944366024472834,0.5388605860001314,0.07581024990412975,0.24972896498462588,0.8320858208860711,0.9011440925380848,0.16530302152281595,0.343128599896365,0.01422414577248856,0.014213742933444098,0.8034973034614732,0.8452218160461796
2003-08-01,0.5994119082802476,0.5334287752443507,0.07711827725721182,0.2700555484911913,0.8321486031018294,0.9103564249352794,0.20157944394534483,0.36497751746048734,0.0024262053076521337,0.014212403098092477,0.7913018497718821,0.8506085852532402
2003-09-01,0.5628288057773196,0.5270019688090904,0.10990363675070111,0.2902462762579172,0.8422764900787165,0.9195613691636569,0.23644348152698552,0.3845224042698537,-0.010139532910822367,0.015563192167916658,0.7979915183239299,0.8574105863101243
2003-10-01,0.5593434199291295,0.5230577430986899,0.10522040349311394,0.30793630064481026,0.8181601562870983,0.9278048955771224,0.2326696393802614,0.403462550148194,-0.03057953380419238,0.018218046595600272,0.7701956487020831,0.8635361477082648
2003-11-01,0.6191287301141288,0.5194547774946182,0.2621245311391753,0.3260937721829574,0.8665018890538712,0.9389242468079646,0.35911023388311375,0.4228685997143187,0.04483544819349016,0.023134478847653107,0.7930323009962434,0.8728089659817364
2003-12-01,0.6237537424017219,0.5074080152184182,0.2615648039600987,0.3322700963172215,0.8669916672248237,0.9457336106877701,0.3659766361902373,0.4308839829777103,0.026036813171485942,0.021092966988302195,0.794550684236568,0.8800394738599798
2004-01-01,0.45292993407412985,0.49485122883269367,0.478885702621743,0.3384957574318901,0.9718868036553474,0.9528302872016724,0.49312876752046575,0.43814708589604767,0.1292704435421525,0.020663954879549307,0.9048561740524462,0.887551951505064
2004-02-01,0.45744073450857287,0.49917362517516783,0.48647232337103524,0.3234964258546818,0.9710318464247011,0.9510148821407958,0.5006017628111245,0.43216642280975,0.16308932538970905,0.011765271481115253,0.8928760914809941,0.8858597242803588
2004-03-01,0.5790450446369826,0.5033247727471908,0.5139689319374446,0.3076554599137113,1.0287660394143727,0.9492737787627241,0.5864387805365499,0.42540418947698916,0.12310088504200481,-0.002058214140049086,0.9726458870880246,0.8852322771899914
2004-04-01,0.6019452907794546,0.49499763574665656,0.43336396642471975,0.28932520990597854,1.0163730990806603,0.9418301791660517,0.5827638241193113,0.41028639968480707,0.014082865160287436,-0.012587822898724364,0.9300406153079934,0.8774438342192127
2004-05-01,0.6114572305677959,0.48357039527477724,0.44077623364590657,0.27701496399211933,1.0123167316641954,0.9354374809695343,0.47318491879122615,0.395481392431631,0.03181452343570787,-0.014953623945269938,0.8983928487536492,0.8730867741375292
2004-06-01,0.6210644828622721,0.4697419883345774,0.4565015891171152,0.25990382204662643,1.0429316353429026,0.9293638942943492,0.41341386443717026,0.385045658765902,-0.1560554976682793,-0.01878209247611054,0.9462296730615847,0.8711349990180112
2004-07-01,0.6264732340473544,0.45496632061505304,0.3623698154970685,0.2412724696625686,1.0299005896486606,0.9200553314335438,0.4067244634725782,0.3816164865934514,-0.20560517943871087,-0.005572264821626649,0.9586381903182764,0.865194382949834
2004-08-01,0.4621063480905113,0.437519788656845,0.17485978210795325,0.23003989589061674,0.9159525171129846,0.910954355333319,0.34603542231634676,0.37890662350992227,-0.2609151428873589,0.013031887307921597,0.8208940136402607,0.8579698020118204
2004-09-01,0.43165309010317343,0.4348943850768121,0.16387099022984342,0.23615414757221717,0.8919114940865656,0.9104689826362886,0.2655826414193882,0.3822422856694763,-0.20608607411550936,0.040130854298150054,0.8027149213287594,0.8615910358969531
2004-10-01,0.4175135959199298,0.4352123271423983,0.2877212160563424,0.243389577102368,0.9598669650175504,0.9122597197929369,0.5003325984659254,0.39398226439967865,0.014989073121814966,0.06350686366168878,0.9201200928570326,0.8673238377713164
2004-11-01,0.35514156245746487,0.43679375818190536,0.3013265586028925,0.23925965436163282,0.9143221345354104,0.9053260522610489,0.5051357588469709,0.3830606444660876,0.008288435420156254,0.06798961747081635,0.8721424090012233,0.859898732727739
2004-12-01,0.3391200467963779,0.44398788707732345,0.23156651581399862,0.2337986449795353,0.9016054822842585,0.9040870456106587,0.35658874288233355,0.3716654122773597,0.011675175522121098,0.07305237400939311,0.8613228954207647,0.8582492116288309
2005-01-01,0.3031537137618682,0.45295449029947055,0.1293378762290441,0.2340391560764144,0.8821378661685245,0.9043913023519826,0.3261183626510965,0.3735179258482405,-0.06021670239478396,0.07888565059840114,0.8388705634528804,0.8578801574803572
2005-02-01,0.225157467377946,0.4648775330810375,0.08402102440284523,0.2452078915174945,0.8326385412437692,0.90715193809241,0.3115589849815421,0.37875660337443323,-0.07981156695458579,0.09169740012130022,0.770564639246399,0.8602365013788913
2005-03-01,0.40747310972151857,0.48581755858066994,0.18657997359938616,0.26343279213132187,0.8953251570311374,0.9160616634476227,0.4462589540119994,0.38555532878535004,-0.07056897347545811,0.10955665277351677,0.8278572053849428,0.8713098054727392
2005-04-01,0.38618463836263245,0.495356552261491,0.007161721096964474,0.27165846118732806,0.93819854439842,0.9184238053747581,0.19602744185985294,0.3790339033940499,-0.17878259523212722,0.12654991486143716,0.873841232623928,0.8762407833570441
2005-05-01,0.46833495511135026,0.5072382625203631,0.2088644272837954,0.30199620578636854,0.9828675263252643,0.9163103131435224,0.32202157331238845,0.40108898256797,0.09685738614646608,0.1549314884220142,0.9330012153559109,0.8764965882922809
2005-06-01,0.47029042710574825,0.511183219291884,0.19097074000511574,0.3137385093174136,0.9709688438759208,0.908586499406455,0.2993617634864404,0.4103776267508073,0.08961468939260847,0.1612286338777036,0.9263029929536643,0.8700249497608453
2005-07-01,0.4628860417473723,0.5149528817351092,0.19542819342359186,0.3279292302455422,0.9201834374350628,0.902057099906614,0.3112049086496576,0.4224475171969459,0.10541924645618304,0.16829475030105234,0.8831628167724569,0.8642235500666583
2005-08-01,0.516443076775306,0.5193574471546414,0.2607432513404717,0.34167951255147994,0.9382507930654971,0.9001711164904491,0.37302369594462187,0.43363216413404415,0.14116403624094903,0.17404806669844677,0.9087675266843397,0.8622897671168974
2005-09-01,0.3278446292938435,0.5195999067148669,0.24635499816635298,0.34985640100854276,0.8737129800005938,0.8963493226344198,0.37685208566668965,0.439703546010754,0.04682151337037209,0.17684086625218998,0.8492880328040905,0.8577944200186347
2005-10-01,0.3617235161649442,0.5359374571616078,0.28659959139614594,0.35936412007663454,0.8692570820008606,0.8991746367579488,0.3782302121414853,0.4454268159482003,0.03989534290672181,0.18743397817375265,0.8381417691549266,0.8588335072444537
2005-11-01,0.361823480671727,0.5514129095361022,0.35595570732176973,0.3661333887901775,0.8585177976638494,0.9024959226444192,0.42669670340498805,0.45285407979941394,0.16095696140334417,0.19855891492212124,0.8411615608999985,0.8610911755923938
